id,ra,dec,dist,dist84,dist16,x,y,z,g,bp,rp,class,xtime,seto,SN,xtime_err
768100101402404352,177.40967200890424,40.36719185553658,106.23517,106.53054,105.95369,-31.764307513856693,9.816970983529906,100.89040659666738,14.484065,15.522953,13.469225,SOLAR_LIKE,2457593.6005386575,False,1604,0.940718
788177218085770624,169.14131280270792,45.745996128152385,96.11275,96.35265,95.88845,-40.48225727877252,13.2551494179298,86.14517353890604,14.401567,15.678947,13.283008,SOLAR_LIKE,2457248.1729396596,False,1604,0.7570137
2881506551163819904,358.5350113993612,38.710931233248296,96.1605,96.34802,95.98668,-31.606158817865435,82.83884706857012,-37.20125697756703,13.466173,14.461423,12.477813,SOLAR_LIKE,2457486.7340327296,False,1604,0.58927226
1837493356916334720,314.8205757069694,19.85461302248365,208.43886,208.81308,208.00961,79.4980729520421,183.02180472518904,-60.28322241193385,12.234977,12.672195,11.636586,SOLAR_LIKE,2457387.9251203886,False,1604,1.3102791
5330465459886112256,135.0007210210643,-45.935984513817836,110.18124,110.30036,110.05296,-6.018471142641829,-110.01510506155397,0.1954198877975024,12.38622,13.104205,11.566651,SOLAR_LIKE,2457184.9395528995,False,1604,0.40345278
5003455484717439232,13.688998865169259,-33.47998431229473,115.82404,116.04785,115.50083,5.52675863632976,-11.518902947128659,-115.1185150306169,11.205382,11.65376,10.602345,SOLAR_LIKE,2457299.470325773,False,1604,0.89207023
1568881188781533952,187.80646678315262,51.915457271635226,109.967155,110.136055,109.815994,-29.86189342208945,35.548466204421295,99.67827128098834,13.584836,14.614478,12.57573,SOLAR_LIKE,2457678.3617402283,False,1604,0.52194923
5142079643004467584,26.199971922571457,-17.539913053384733,90.90203,91.05839,90.7432,-24.634869828892988,0.940965617916401,-87.48773656078508,13.977204,15.105365,12.920261,SOLAR_LIKE,2457452.561783417,False,1604,0.51399887
5320987880114241408,124.383058425185,-51.695461033244264,109.235146,109.3419,109.0904,-5.25072465474841,-107.78055445705411,-16.965217219278795,11.08924,11.532442,10.481132,SOLAR_LIKE,2457299.130883997,False,1604,0.41014653
3916445888264739200,175.90129115524638,10.964353899610554,122.26414,122.56929,122.03283,-11.859475725737866,-45.60324160955462,112.81659459095643,11.0419035,11.44764,10.463818,SOLAR_LIKE,2457188.3398839347,False,1604,0.8748507
4826489083930889472,79.87421507318471,-33.037176311380435,79.60548,79.68389,79.51711,-37.10951661714989,-55.84457960249366,-42.887307271906025,13.0216465,14.005365,12.037567,SOLAR_LIKE,2457468.253677867,False,1604,0.27197945
417785182718757888,9.633925655066605,53.40320877906398,86.14328,86.28106,86.02272,-43.75680738954179,72.85637478579874,-13.986551328865286,13.454011,14.520541,12.427845,SOLAR_LIKE,2457296.206290336,False,1604,0.42129445
418007936906454144,8.762717799898736,53.77801833665167,86.500015,86.668144,86.34513,-43.34458763176826,73.62369324731841,-13.44401640775774,14.015482,15.239166,12.918092,SOLAR_LIKE,2457100.2291993285,False,1604,0.5267643
2416892412310450688,4.94366850975996,-14.862605023975945,113.75583,114.06182,113.43958,-0.42485357830901194,28.11469061399353,-110.22589954178436,13.216731,14.030403,12.324416,SOLAR_LIKE,2457424.9712854074,False,1604,1.0147347
